nohup: ignoring input
Epoch~53->train_loss:1.0933, val_loss:1.1201, val_accu:0.2, lr:0.10180941224098206, conflict:9/53=0.1698
Epoch~54->train_loss:1.0932, val_loss:1.1201, val_accu:0.2, lr:0.10181544721126556, conflict:9/54=0.1667
Epoch~55->train_loss:1.0932, val_loss:1.12, val_accu:0.2, lr:0.10182151198387146, conflict:9/55=0.1636
Epoch~56->train_loss:1.0931, val_loss:1.12, val_accu:0.2, lr:0.10182761400938034, conflict:9/56=0.1607
Epoch~57->train_loss:1.093, val_loss:1.1199, val_accu:0.2, lr:0.1018337607383728, conflict:9/57=0.1579
Epoch~58->train_loss:1.093, val_loss:1.1199, val_accu:0.2, lr:0.10183995217084885, conflict:9/58=0.1552
Epoch~59->train_loss:1.0929, val_loss:1.1198, val_accu:0.2, lr:0.10184618830680847, conflict:9/59=0.1525
Epoch~60->train_loss:1.0928, val_loss:1.1197, val_accu:0.2, lr:0.10185247659683228, conflict:9/60=0.15
Epoch~61->train_loss:1.0928, val_loss:1.1197, val_accu:0.2, lr:0.10185882449150085, conflict:9/61=0.1475
Epoch~62->train_loss:1.0927, val_loss:1.1196, val_accu:0.2, lr:0.10186523199081421, conflict:9/62=0.1452
Epoch~63->train_loss:1.0926, val_loss:1.1196, val_accu:0.2, lr:0.10187169909477234, conflict:9/63=0.1429
Epoch~64->train_loss:1.0926, val_loss:1.1195, val_accu:0.2, lr:0.10187822580337524, conflict:9/64=0.1406
Epoch~65->train_loss:1.0925, val_loss:1.1195, val_accu:0.2, lr:0.10188481211662292, conflict:10/65=0.1538
Epoch~66->train_loss:1.0924, val_loss:1.1194, val_accu:0.2, lr:0.10189146548509598, conflict:10/66=0.1515
Epoch~67->train_loss:1.0924, val_loss:1.1193, val_accu:0.2, lr:0.101898193359375, conflict:10/67=0.1493
Epoch~68->train_loss:1.0923, val_loss:1.1193, val_accu:0.2, lr:0.10190499573945999, conflict:10/68=0.1471
